Cadena,Unidad de Negocio,Descripción Producto,Cód. Interno,Cód. Cadena,costo_Fabricación,Precio_Venta_Distribuidor,Mg_Declarado,Un_Semana_1 ,Un_Semana_2,Un_Semana_3,Un_Semana_4,Un_Semana_5,Un_Semana_6,Un_Semana_7,Un_Semana_8,Un_Semana_9,Un_Semana_10,Un_Semana_11,Un_Semana_12,Un_Semana_13,Un_Semana_14,Un_Semana_15,Un_Semana_16,Un_Semana_17,Un_Semana_18,Un_Semana_19,Un_Semana_20,Un_Semana_21,Un_Semana_22,Un_Semana_23,Un_Semana_24,Un_Semana_25,Un_Semana_26,Un_Semana_27,Un_Semana_28,Un_Semana_29,Un_Semana_30,Venta_Retail_sem_1 ,Venta_Retail_sem_2,Venta_Retail_sem_3,Venta_Retail_sem_4,Venta_Retail_sem_5,Venta_Retail_sem_6,Venta_Retail_sem_7,Venta_Retail_sem_8,Venta_Retail_sem_9,Venta_Retail_sem_10,Venta_Retail_sem_11,Venta_Retail_sem_12,Venta_Retail_sem_13,Venta_Retail_sem_14,Venta_Retail_sem_15,Venta_Retail_sem_16,Venta_Retail_sem_17,Venta_Retail_sem_18,Venta_Retail_sem_19,Venta_Retail_sem_20,Venta_Retail_sem_21,Venta_Retail_sem_22,Venta_Retail_sem_23,Venta_Retail_sem_24,Venta_Retail_sem_25,Venta_Retail_sem_26,Venta_Retail_sem_27,Venta_Retail_sem_28,Venta_Retail_sem_29,Venta_Retail_sem_30,Con_sem_1,Con_sem_2,Con_sem_3,Con_sem_4,Con_sem_5,Con_sem_6,Con_sem_7,Con_sem_8,Con_sem_9,Con_sem_10,Con_sem_11,Con_sem_12,Con_sem_13,Con_sem_14,Con_sem_15,Con_sem_16,Con_sem_17,Con_sem_18,Con_sem_19,Con_sem_20,Con_sem_21,Con_sem_22,Con_sem_23,Con_sem_24,Con_sem_25,Con_sem_26,Con_sem_27,Con_sem_28,Con_sem_29,Con_sem_30
Hites,Colchones,Respaldo Miro King Ci Cm,780642761738-7,935190001,92872.38,214279.4117647059,0.56658281243565989,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39990,0,0,0,0,0,0,0,0,0,0,0,49990,49990,0,39990,0,0,0,0,29990,0,0,0,0,0,0,0,0,0,-62963.892605042027,0,0,0,0,0,0,0,0,0,0,0,-55484.901008403358,-55484.901008403358,0,-62963.892605042027,0,0,0,0,-70442.884201680674
Falabella,Colchones,Set Maderas Monterrey Super King,780642759805-1,6265084,366226.02,731086.13445378153,0.4990658381537772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307549.60184873955,0,0,0,0,0,0
Ripley,Colchones,Juego Palos Miro King,780642752924-6,35631719,193644.79999999999,444321.42857142864,0.56417857085443301,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,639362.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529990.30000000005,629270.81000000006,0,0,0,0,0,0,0,0,0,0,284533.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202734.50000000006,276986.31000000011,0,0,0,0,0,0,0
Paris,Colchones,Juego Palos Miro King,780642752924-6,695579999,193644.79999999999,444321.42857142864,0.56417857085443301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689991,0,0,0,0,0,0,0,0,0,0,1128686,0,-564343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322398.88907563034,0,0,0,0,0,0,0,0,0,0,456853.71092436987,0,-228426.85546218493,0
Falabella,Colchones,Juego Palos Miro 2 Pzas,780642754195-8,4029888,178806.13,390750,0.54240273832373642,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-39979.592184873938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hites,Colchones,Juego Palos Miro 2 Pzas,780642754195-8,718379001,178806.13,390750,0.54240273832373642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232530.92882352939,0,0,0,0,0,0,0
Paris,Colchones,Juego Palos Miro 2 Pzas,780642754195-8,695578999,178806.13,390750,0.54240273832373642,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243750.1641176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falabella,Colchones,RESPALDO MIRO ALPINO KING,780642767362-8,17082524,120155.15,214279.4117647059,0.43925947429826373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279990,0,0,0,-279990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89249.135714285716,0,0,0,-89249.135714285716,0,0,0
Walmart,Colchones,RESPALDO MIRO ALPINO KING,780642767362-8,5053656,120155.15,214279.4117647059,0.43925947429826373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342708.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136155.95000000001,0,0,0,0,0,0,0
Sodimac,Colchones,RESPALDO MIRO OLIVO 2PZAS,780642767367-3,7525397,115557.65,201674.36974789918,0.42700874610664924,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60412.551680672274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falabella,Colchones,Juego de Palos Milan King,780642757910-4,5304565,111232.54000000001,280455.8823529412,0.60338667505636834,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429990,0,0,0,0,0,0,-429990,0,0,0,0,0,0,147318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210356.61966386557,0,0,0,0,0,0,-210356.61966386557,0,0,0,0,0,0,-1053.5315966386552,0,0,0,0
Sodimac,Colchones,RESPALDO MIRO ALPINO 2PZAS,780642767361-1,7525419,110146.28,201674.36974789918,0.4538409608633604,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470572,0,0,0,0,0,0,0,0,216950,222681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131647.84336134454,0,0,0,0,0,0,0,0,52110.442689075629,56396.652773109265,0,0,0,0,0,0,0,0
Ripley,Colchones,RESPALDO MIRO OLIVO KING,780642767368-0,40046798,107734.95,214279.4117647059,0.49722211241507108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259990.01,-259990.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86711.36000000003,-86711.36000000003,0,0,0,0,0,0,0
Paris,Colchones,Juego de Palos Milan 2 Pza,780642757909-8,847720999,105151.89,239489.49579831935,0.5609331856101476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141648.10159663868,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Polar,Colchones,Juego de Palos Milan 2 Pza,780642757909-8,20282240,105151.89,239489.49579831935,0.5609331856101476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279990.34000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104252.65000000004,0,0,0,0,0,0,0,0
Ripley,Colchones,Juego de Palos Milan 2 Pza,780642757909-8,36058325,105151.89,239489.49579831935,0.5609331856101476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349989.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156605.12000000005,0,0,0,0,0,0,0,0,0
Easy,Colchones,Juego de Palos Milan 2 Pza,780642757909-8,1353169,105151.89,239489.49579831935,0.5609331856101476,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309990.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126689.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sodimac,Colchones,RESPALDO MIRO MOSTAZA KING,780642767364-2,7525516,102856.63,214279.4117647059,0.51998827534143166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76255.496050420188,0,0,0,0,0,0,0,0
Sodimac,Colchones,RESPALDO MIRO NEGRO KING,780642767370-3,752529X,93147.71,214279.4117647059,0.56529790131082291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87849.869831932781,0,0,0
Ripley,Colchones,RESPALDO MIRO NEGRO KING,780642767370-3,40046796,93147.71,214279.4117647059,0.56529790131082291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289989.90999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123735.49999999999,0
Paris,Colchones,Respaldo Miro King Ci Cm,780642761738-7,312975999,92872.38,214279.4117647059,0.56658281243565989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300374.73579831939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sodimac,Colchones,RESPALDO MIRO MOSTAZA 2PZAS,780642767363-5,7525443,89958.399999999994,201674.36974789918,0.55394232736439686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92296.398319327738,0,0,0,0,0,0,0,0,0,0,0,0,0
Paris,Colchones,Respaldo Miro 2 Plazas Ce/BS Ci Cm,780642761649-6,312974999,78033.710000000006,201674.36974789918,0.61307076304467845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284990,0,0,0,0,-284990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135110.07151260506,0,0,0,0,-135110.07151260506,0,0,0,0,0,0,0,0,0
Sodimac,Colchones,Respaldo Miro 2 Plazas Ce/BS Ci Cm,780642761649-6,6895530,78033.710000000006,201674.36974789918,0.61307076304467845,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,235286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222681,0,0,0,0,0,0,0,0,0,0,0,0,0,97936.491680672261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88509.222773109257,0,0,0,0,0,0,0,0
Easy,Colchones,RESPALDO OLMO SINGLE,780642766928-7,1401065,9925.9500000000007,25874.957983193279,0.61638778287302864,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,74970,24990,24990,0,0,0,0,0,0,0,0,0,0,0,27989.99,0,-27989.99,0,0,0,0,0,0,0,0,0,0,0,0,0,26292.149999999998,8764.0499999999993,8764.0499999999993,0,0,0,0,0,0,0,0,0,0,0,11007.740000000002,0,-11007.740000000002,0,0
Sodimac,Colchones,RESPALDO OLMO SINGLE,780642766928-7,7409214,9925.9500000000007,25874.957983193279,0.61638778287302864,1,0,1,0,0,1,2,0,0,0,1,0,0,1,0,5,0,5,2,0,6,8,1,1,0,0,1,1,0,0,22314,0,22681,0,0,22681,45361,0,0,0,32345,0,0,23521,840000000,109202,0,117605,39919,0,141126,188168,23521,25202,0,0,25202,25202,0,0,6762.6718487394937,0,7037.1508403361331,0,0,7037.1508403361331,14073.553781512608,0,0,0,14264.848319327732,0,0,7665.38613445378,628235294.11764717,32042.334033613457,0,38326.930672268922,10003.48655462185,0,45992.316806722687,61323.08907563024,7665.38613445378,8922.6046218487427,0,0,8922.6046218487427,8922.6046218487427,0,0
Paris,Colchones,RESPALDO OLMO SINGLE,780642766928-7,529431999,9925.9500000000007,25874.957983193279,0.61638778287302864,0,4,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,115078,0,0,0,0,0,0,49980,0,0,0,0,39990,0,0,0,0,0,0,0,79980,0,0,0,0,0,0,59980,0,0,46362.939495798317,0,0,0,0,0,0,17528.099999999999,0,0,0,0,19982.537394957981,0,0,0,0,0,0,0,39965.074789915961,0,0,0,0,0,0,25007.091596638653,0
La Polar,Colchones,RESPALDO OLMO SINGLE,780642766928-7,27085288,9925.9500000000007,25874.957983193279,0.61638778287302864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49980,49980,0,55979.98,0,0,-49977.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17528.099999999999,17528.099999999999,0,22015.480000000003,0,0,-17526.320000000007,0
Hites,Colchones,RESPALDO OLMO SINGLE,780642766928-7,922209001,9925.9500000000007,25874.957983193279,0.61638778287302864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24990,0,0,0,0,0,24990,-24990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8764.0499999999993,0,0,0,0,0,8764.0499999999993,-8764.0499999999993,0,0,0,0,0,0
Ripley,Colchones,RESPALDO OLMO SINGLE,780642766928-7,39782298,9925.9500000000007,25874.957983193279,0.61638778287302864,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,24990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24990,99960,0,0,0,0,0,0,27823.39,0,0,0,0,0,0,8764.0499999999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8764.0499999999993,35056.199999999997,0,0,0,0,0,0,10883.14,0,0,0,0,0,0
Falabella,Colchones,RESPALDO OLMO SINGLE,780642766928-7,16879158,9925.9500000000007,25874.957983193279,0.61638778287302864,1,1,0,2,0,0,0,1,1,0,0,1,0,2,0,0,1,-1,1,0,0,0,0,0,3,3,0,1,0,0,30990,27990,0,20507,0,0,0,27990,27990,0,0,27990,0,52295,0,0,27990,-24305,44990,0,0,0,0,0,89970,89970,0,29990,0,0,13251.444957983196,11007.747478991598,0,-4514.7319327731093,0,0,0,11007.747478991598,11007.747478991598,0,0,11007.747478991598,0,19259.48655462185,0,0,11007.747478991598,-8251.739075630252,23722.033193277315,0,0,0,0,0,37510.637394957972,37510.637394957972,0,12503.545798319326,0,0
Abcdin,Colchones,RESPALDO OLMO SINGLE,780642766928-7,27085288,9925.9500000000007,25874.957983193279,0.61638778287302864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8764.0499999999993,0,0,0,0,0,0,0
La Polar,Colchones,Colchon Littledreams 130x69x12,780642757703-2,19325725,11483.81,28564.285714285714,0.59796614153538374,3,0,1,1,2,1,3,3,6,2,2,3,1,3,3,0,0,1,0,3,2,8,2,2,1,1,2,1,1,0,83969.97,2380000,27989.99,27989.99,55979.98,27989.99,83969.97,83969.97,167939.94,55981.17,55979.98,83969.97,27989.99,83969.97,83969.97,0,0,27989.99,0,89971.14,59980.76,227923.08,59980.76,59980.76,29990.38,29990.38,59980.76,29990.38,29990.38,0,28349.64,1780000,9449.8800000000028,9449.8800000000028,18899.760000000006,9449.8800000000028,28349.64,28349.64,56699.28,18900.650000000005,18899.760000000006,28349.64,9449.8800000000028,28349.64,28349.64,0,0,9449.8800000000028,0,32837.909999999996,21891.940000000006,78593.000000000015,21891.940000000006,21891.940000000006,10945.970000000003,10945.970000000003,21891.940000000006,10945.970000000003,10945.970000000003,0
Falabella,Colchones,Colchon Littledreams 130x69x12,780642757703-2,5590916,11483.81,28564.285714285714,0.59796614153538374,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,46753,44990,0,0,0,0,0,0,0,0,39990,0,44990,0,0,67792,0,22846,34990,0,34990,39990,0,0,0,0,0,0,0,0,11998.909411764707,22164.173193277318,0,0,0,0,0,0,0,0,18424.67739495798,0,22164.173193277318,0,0,27733.959831932774,0,5602.6942016806734,14685.181596638658,0,14685.181596638658,18424.67739495798,0,0,0,0,0,0,0,0
Hites,Colchones,Colchon Littledreams 130x69x12,780642757703-2,737926001,11483.81,28564.285714285714,0.59796614153538374,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29990,0,29990,0,0,0,0,23992,0,0,0,26990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10945.685798319328,0,10945.685798319328,0,0,0,0,6459.7866386554615,0,0,0,8701.9883193277328,0,0,0,0,0,0,0,0,0
Paris,Colchones,Colchon Littledreams 130x69x12,780642757703-2,109423999,11483.81,28564.285714285714,0.59796614153538374,0,0,3,0,1,-1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,82970,0,34990,-34990,0,32990,0,0,0,0,0,29990,0,0,0,0,0,0,0,81971,0,0,0,29990,0,0,0,29990,0,0,27601.763277310929,0,14685.181596638658,-14685.181596638658,0,13189.383277310926,0,0,0,0,0,10945.685798319328,0,0,0,0,0,0,0,26854.612016806728,0,0,0,10945.685798319328,0,0,0,10945.685798319328
Walmart,Colchones,Colchon Littledreams 130x69x12,780642757703-2,810618,11483.81,28564.285714285714,0.59796614153538374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35688.1,0,0,0,0,0,35688.1,321192.90000000002,71376.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15207.290000000003,0,0,0,0,0,15207.290000000003,136865.61000000004,30414.580000000005
Easy,Colchones,Colchon Littledreams 130x69x12,780642757703-2,1172606,11483.81,28564.285714285714,0.59796614153538374,2,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,11,1,4,2,4,6,5,6,7,79979.899999999994,39989.949999999997,0,0,0,26990.39,0,0,0,0,0,0,0,0,0,0,0,0,119960.33,52484.95,149951.9,326891.81,32989.18,128962.68,59979.57,119957.95,179941.09,149949.51999999999,179939.9,209930.28,36849.279999999999,18424.64,0,0,0,31669.9,0,0,0,0,0,0,0,0,0,0,0,0,43782.99,16285.829999999998,54729.850000000013,118160.20000000003,13188.770000000002,50515.840000000004,21891.05,43781.21,65674.930000000008,54728.07,65674.039999999994,76620.009999999995
La Polar,Colchones,Respaldo 2 Plazas Olmo,780642766917-1,27085296,12028.44,28832.941176470591,0.58282299657254788,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31989.58,0,0,0,39989.949999999997,0,0,0,0,0,0,0,0,39989.949999999997,0,28989.59,0,0,0,0,32990.370000000003,0,0,0,0,0,0,0,0,0,11896.540000000003,0,0,0,17880.010000000002,0,0,0,0,0,0,0,0,17880.010000000002,0,9652.85,0,0,0,0,12645.030000000004,0
Easy,Colchones,Respaldo 2 Plazas Olmo,780642766917-1,1401064,12028.44,28832.941176470591,0.58282299657254788,0,0,0,1,1,0,0,0,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29990.38,29990.38,0,0,0,29990.38,29990.38,29990.38,26990.39,59980.76,59979.57,0,0,0,0,0,0,0,0,0,0,0,29990.38,0,0,0,0,0,0,0,10401.340000000002,10401.340000000002,0,0,0,10401.340000000002,10401.340000000002,10401.340000000002,8157.65,20802.680000000004,20801.789999999997,0,0,0,0,0,0,0,0,0,0,0,10401.340000000002,0,0,0,0
Hites,Colchones,Respaldo 2 Plazas Olmo,780642766917-1,922210001,12028.44,28832.941176470591,0.58282299657254788,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28990,0,0,-28990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28990,0,0,0,0,0,0,0,9653.1566386554605,0,0,-9653.1566386554605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9653.1566386554605,0,0,0,0,0,0,0
Ripley,Colchones,Respaldo 2 Plazas Olmo,780642766917-1,39782297,12028.44,28832.941176470591,0.58282299657254788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26990.39,56979.58,0,0,0,0,0,0,0,0,0,34989.57,59979.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8157.65,18558.100000000002,0,0,0,0,0,0,0,0,0,14140.230000000001,20801.789999999997,0
Falabella,Colchones,Respaldo 2 Plazas Olmo,780642766917-1,16879159,12028.44,28832.941176470591,0.58282299657254788,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,-2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,74980,0,0,0,0,0,0,0,0,0,0,0,69980,31491,0,-69980,0,27551,79980,0,0,0,0,0,0,0,0,0,0,0,32020.598991596646,0,0,0,0,0,0,0,0,0,0,0,28281.103193277315,11523.652436974791,0,-28281.103193277315,0,8576.9297478991593,35760.094789915966,0
Paris,Colchones,Respaldo 2 Plazas Olmo,780642766917-1,529446999,12028.44,28832.941176470591,0.58282299657254788,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,32738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44990,0,0,34990,0,0,0,29990,29990,0,12456.282689075631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21619.543193277314,0,0,14140.551596638657,0,0,0,10401.055798319327,10401.055798319327
Sodimac,Colchones,Respaldo 2 Plazas Olmo,780642766917-1,7409222,12028.44,28832.941176470591,0.58282299657254788,4,2,2,2,5,0,3,1,5,1,1,3,6,0,1,4,1,3,2,3,1,11,2,1,3,2,10,5,1,4,107529,53764,53764,53764,134412,0,80647,26882,134411,26882,33605,81487,166337,0,27723,108118,10328,78816,54109,81679,29404,323436,55792,29403,88209,58806,252017,138613,25202,100807,32307.08873949579,16153.170420168066,16153.170420168066,16153.170420168066,40384.42184873949,0,24230.503529411777,8076.585210084033,40383.673949579832,8076.585210084033,13104.711260504204,24858.73882352942,52232.662521008417,0,8705.5684033613452,32747.601344537812,-4304.1374789915963,22861.100168067234,16411.195630252103,25002.335462184878,9962.7868907563043,109584.67260504203,17669.909915966393,9962.0389915966389,29886.116974789918,19924.077983193278,68198.902521008407,43526.346218487401,6820.1146218487429,27279.710588235284
La Polar,Muebles Melamina,Set 1 Vel + 1 Respaldo Single Olmo,780642773909-6,21427330,16674.189999999999,29572.436974789915,0.43615772977335243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49989.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20712.930000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
