Cadena,Unidad de Negocio,Descripción Producto,Cód. Interno,Cód. Cadena,costo_Fabricación,Precio_Venta_Distribuidor,Mg_Declarado,Un_Semana_1 ,Un_Semana_2,Un_Semana_3,Un_Semana_4,Un_Semana_5,Un_Semana_6,Un_Semana_7,Un_Semana_8,Un_Semana_9,Un_Semana_10,Un_Semana_11,Un_Semana_12,Un_Semana_13,Un_Semana_14,Un_Semana_15,Un_Semana_16,Un_Semana_17,Un_Semana_18,Un_Semana_19,Un_Semana_20,Un_Semana_21,Un_Semana_22,Un_Semana_23,Un_Semana_24,Un_Semana_25,Un_Semana_26,Un_Semana_27,Un_Semana_28,Un_Semana_29,Un_Semana_30,Venta_Retail_sem_1 ,Venta_Retail_sem_2,Venta_Retail_sem_3,Venta_Retail_sem_4,Venta_Retail_sem_5,Venta_Retail_sem_6,Venta_Retail_sem_7,Venta_Retail_sem_8,Venta_Retail_sem_9,Venta_Retail_sem_10,Venta_Retail_sem_11,Venta_Retail_sem_12,Venta_Retail_sem_13,Venta_Retail_sem_14,Venta_Retail_sem_15,Venta_Retail_sem_16,Venta_Retail_sem_17,Venta_Retail_sem_18,Venta_Retail_sem_19,Venta_Retail_sem_20,Venta_Retail_sem_21,Venta_Retail_sem_22,Venta_Retail_sem_23,Venta_Retail_sem_24,Venta_Retail_sem_25,Venta_Retail_sem_26,Venta_Retail_sem_27,Venta_Retail_sem_28,Venta_Retail_sem_29,Venta_Retail_sem_30,Con_sem_1,Con_sem_2,Con_sem_3,Con_sem_4,Con_sem_5,Con_sem_6,Con_sem_7,Con_sem_8,Con_sem_9,Con_sem_10,Con_sem_11,Con_sem_12,Con_sem_13,Con_sem_14,Con_sem_15,Con_sem_16,Con_sem_17,Con_sem_18,Con_sem_19,Con_sem_20,Con_sem_21,Con_sem_22,Con_sem_23,Con_sem_24,Con_sem_25,Con_sem_26,Con_sem_27,Con_sem_28,Con_sem_29,Con_sem_30
Paris,Colchones,DIVAN EXCELLENCE PLUS BLACK RESPALDO VILLARRICA OLIVO,780642767634-6,680641999,178490.13999999998,244026.21848739497,0.26856162790057009,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319990,0,0,0,0,299989,0,0,324990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60830.112100840372,0,0,0,0,45871.381008403376,0,0,64569.607899159717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hites,Colchones,DIVAN EXCELLENCE PLUS BLACK RESPALDO VILLARRICA NEGRO,780642767452-6,935163001,178087.65999999997,244026.21848739497,0.27021095887203211,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,3,0,1,0,0,0,0,0,599980,0,299990,0,284990,0,0,0,0,0,0,299990,0,0,0,0,0,0,319990,899970,0,0,899970,0,299990,0,0,0,0,0,92549.217815126118,0,46274.608907563059,0,35056.121512605081,0,0,0,0,0,0,46274.608907563059,0,0,0,0,0,0,61232.592100840382,138823.82672268909,0,0,138823.82672268909,0,46274.608907563059,0,0,0
Abcdin,Colchones,DIVAN EXCELLENCE PLUS BLACK RESPALDO VILLARRICA NEGRO,780642767452-6,27482996,178087.65999999997,244026.21848739497,0.27021095887203211,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243689,0,0,0,252092,252092,252092,0,0,0,0,252092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4167.1383193277579,0,0,0,10451.734957983223,10451.734957983223,10451.734957983223,0,0,0,0,10451.734957983223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falabella,Colchones,DIVAN EXCELLENCE PLUS BLACK RESPALDO VILLARRICA NEGRO,780642767452-6,17081896,178087.65999999997,244026.21848739497,0.27021095887203211,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,4,0,2,-1,0,0,0,1,0,0,0,309990,0,0,0,0,0,0,309990,0,0,0,0,0,0,0,0,0,979970,0,1183963,0,639980,-287991,0,0,0,309990,0,0,0,53753.60050420172,0,0,0,0,0,0,53753.60050420172,0,0,0,0,0,0,0,0,0,198655.75949579838,0,173134.2927731094,0,122465.18420168076,-37300.566890756338,0,0,0,53753.60050420172,0
Falabella,Colchones,DIVAN EXCELLENCE PLUS BLACK RESPALDO MUNICH GRIS,780642767056-6,16895246,177780.52999999997,244026.21848739497,0.27146955314072896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339990,0,0,0,0,619980,0,309990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76497.70529411771,0,0,0,0,108121.46100840345,0,54060.730504201725,0,0,0,0,0
Walmart,Colchones,DIVAN EXCELLENCE PLUS BLACK RESPALDO VILLARRICA ALPINO,780642768051-0,5053043,177645.06,244026.21848739497,0.27202469840683885,0,0,0,0,0,0,0,0,0,0,2,2,6,2,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,687796.2,687796.2,2063388.6,749676.2,0,0,0,0,0,396258.1,396258.1,356988.1,0,0,0,0,365318.1,0,0,0,0,0,0,0,0,0,0,0,0,0,159112.08000000002,159112.08000000002,477336.24000000046,205392.07999999996,0,0,0,0,0,118716.03999999998,118716.03999999998,89346.039999999979,0,0,0,0,95576.039999999979,0,0,0
Sodimac,Colchones,DIVAN EXCELLENCE PLUS BLACK RESPALDO VILLARRICA ALPINO,780642768051-0,7524986,177645.06,244026.21848739497,0.27202469840683885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281504,0,281504,0,0,0,0,0,0,496824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32891.545042016834,0,32891.545042016834,0,0,0,0,0,0,16284.13210084039,0
Ripley,Colchones,DIVAN EXCELLENCE PLUS BLACK RESPALDO VILLARRICA ALPINO,780642768051-0,40045876,177645.06,244026.21848739497,0.27202469840683885,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,299989.48,0,0,0,299989.48,0,0,0,0,0,0,319989.81,319989.81,0,319989.81,0,0,319989.81,0,0,0,0,0,0,0,0,0,0,0,0,46716.820000000007,0,0,0,46716.820000000007,0,0,0,0,0,0,61675.050000000017,61675.050000000017,0,61675.050000000017,0,0,61675.050000000017,0,0,0,0,0
Paris,Colchones,DIVAN EXCELLENCE PLUS BLACK RESPALDO VILLARRICA MOSTAZA,780642767869-2,680431999,176880.61,244026.21848739497,0.27515735359749205,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124879.28420168074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paris,Colchones,Cama Europea Anatomic 2 Pza Bd,780642762082-0,437349999,170277.88999999998,244026.21848739497,0.30221477407028874,1,3,1,2,0,2,2,1,0,1,1,3,3,1,0,0,1,1,0,1,1,2,0,0,1,1,1,-1,3,0,329991,959971,329991,599978,0,564980,584980,329991,0,329991,329991,903970,908969,316791,0,0,249990,344991,0,287669,319990,575982,0,0,289990,329991,249990,-329991,890973,0,76522.101596638677,207127.83420168085,76522.101596638677,108167.26201680675,0,81992.287226890796,96950.270420168119,76522.101596638677,0,76522.101596638677,76522.101596638677,165244.73336134467,168983.48126050434,66649.832689075673,0,0,16689.42092436977,87740.588991596655,0,44869.51336134458,69042.362100840372,90220.673781512654,0,0,46605.387310924387,76522.101596638677,16689.42092436977,-76522.101596638677,155524.28798319341,0
